Ash Fields - Ashtown - Seaport - POILU 1 - X: 0.5363015 Y: 0.4727113,2026.06.05-19.46.58
“Dusk” ce.III (Crate),0
Booker Storm Rifle Model 838 (Crate),0
Aalto Storm Rifle 24 (Crate),0
7.92mm (Crate),15
Catara mo.II (Crate),0
KRN886-127 Gast Machine Gun (Crate),0
Malone MK.2 (Crate),0
Bomastone Grenade (Crate),0
A3 Harpa Fragmentation Grenade (Crate),0
Ferro 879 (Crate),0
Cascadier 873 (Crate),0
Ahti Model 2 (Crate),0
8mm (Crate),0
Cometa T2-9 (Crate),0
The Hangman 757 (Crate),0
.44 Mag (Crate),0
Catena rt.IV Auto-Rifle (Crate),37
Sampo Auto-Rifle 77 (Crate),0
Argenti r.II Rifle (Crate),0
Volta r.I Repeater (Crate),7
Fuscina pi.I (Crate),0
Blakerow 871 (Crate),0
KRR2-790 Omen (Crate),0
Clancy Cinder M3 (Crate),0
No.2B Hawthorne (Crate),0
No.2 Loughcaster (Crate),0
KRR3-792 Auger (Crate),0
Clancy-Raca M4 (Crate),0
7.62mm (Crate),26
KRF1-750 Dragonfly (Crate),2
No.4 The Pillory Scattergun (Crate),0
Buckshot (Crate),1
“The Pitch Gun” mc.V (Crate),0
“Lionclaw” mc.VIII (Crate),16
No.1 “The Liar” Submachinegun (Crate),0
Fiddler Submachine Gun Model 868 (Crate),0
9mm (Crate),48
228 Satterley Heavy Storm Rifle (Crate),0
Booker Greyhound Model 910 (Crate),0
“Dawn” Ve.II (Crate),0
“Quickhatch” Rt.I (Crate),0
“Typhon” ra.XII (Crate),0
Neville Anti-Tank Rifle (Crate),0
14.5mm (Crate),18
Venom c.II 35 (Crate),0
Bane 45 (Crate),0
Carnyx Anti-Tank Rocket Launcher (Crate),0
AP/RPG (Crate),45
Mounted Bonesaw MK.3 (Crate),0
Bonesaw MK.3 (Crate),0
ARC/RPG (Crate),0
“Molten Wind” v.II Flame Torch (Crate),0
Willow’s Bane Model 845 (Crate),0
KLG901-2 Lunaire F (Crate),38
Mounted Fissura gd.I (Crate),0
Tremola Grenade GPb-1 (Crate),37
PT-815 Smoke Grenade (Crate),0
Green Ash Grenade (Crate),53
Lamentum mm.IV (Crate),0
Malone Ratcatcher MK.1 (Crate),0
12.7mm (Crate),0
Daucus isg.III (Crate),0
30mm (Crate),23
Cremari Mortar (Crate),0
Incendiary Mortar Shell (Crate),0
Flare Mortar Shell (Crate),0
Shrapnel Mortar Shell (Crate),13
Mortar Shell (Crate),54
BF5 White Ash Flask Grenade (Crate),0
B2 Varsi Anti-Tank Grenade (Crate),0
Ignifist 30 (Crate),0
Mammon 91-b (Crate),15
Anti-Tank Sticky Bomb (Crate),0
Cutler Foebreaker (Crate),0
Cutler Launcher 4 (Crate),0
RPG (Crate),0
950-70b Anti-Aircraft Shell (Crate),0
20mm (Crate),0
94.5mm (Crate),0
75mm (Crate),0
Mark II Raidbreaker (Crate),0
Shatter Missile (Crate),0
Model-7 “Evie” (Crate),0
912 Shrike Rounds (Crate),0
4C-Fire Rocket (Crate),0
Flame Ammo (Crate),0
150mm (Crate),0
3C-High Explosive Rocket (Crate),0
Absol Anti-Aircraft Rounds (Crate),0
120mm (Crate),0
300mm (Crate),0
Quillback Torpedo (Crate),34
250mm "Purity" Shell (Crate),0
250mm "Fury" Shell (Crate),0
E681-B Hullbreaker Mine (Crate),0
68mm (Crate),9
40mm (Crate),68
Legion Vexillum (Crate),0
War Ensign (Crate),0
Barbed Wire (Crate),0
Buckhorn CCQ-18 (Crate),30
Binoculars (Crate),0
Hydra’s Whisper (Crate),0
Havoc Charge (Crate),0
“Molten Wind” v.II Ammo (Crate),0
Willow's Bane Ammo (Crate),0
Crow’s Foot Mine (Crate),0
Listening Kit (Crate),4
Falias Raiding Club (Crate),0
Metal Beam (Crate),17
Paratrooper’s Ruck (Crate),0
Radio Backpack (Crate),0
Sandbag (Crate),0
Havoc Charge Detonator (Crate),0
Alligator Charge (Crate),0
Shovel (Crate),0
Sledge Hammer (Crate),0
Eleos Infantry Dagger (Crate),0
Abisme AT-99 Mine (Crate),0
Tripod (Crate),4
E680-S Rudder Lock (Crate),0
Wind Sock (Crate),0
Hammer (Crate),0
Wrench (Crate),0
Water Bucket (Crate),0
Water (Crate),0
Gas Mask (Crate),12
Gas Mask Filter (Crate),11
The Ospreay (Crate),0
Radio (Crate),41
Liaison Transmitter (Crate),0
Bandages (Crate),16
First Aid Kit (Crate),14
Trauma Kit (Crate),2
Blood Plasma (Crate),0
Soldier Supplies (Crate),41
Diesel (Crate),87
Unstable Substances (Crate),0
Thermal Shielding (Crate),0
Processed Construction Materials (Crate),0
Steel Construction Materials (Crate),0
Assembly Materials I (Crate),0
Assembly Materials II (Crate),0
Assembly Materials III (Crate),0
Assembly Materials IV (Crate),0
Assembly Materials V (Crate),0
Rare Alloys (Crate),0
Heavy Oil (Crate),0
Enriched Oil (Crate),0
Oil (Crate),0
Petrol (Crate),0
Pipe (Crate),0
Aluminum Alloy (Crate),0
Basic Materials (Crate),130
Copper Alloy (Crate),0
Explosive Powder (Crate),247
Construction Materials (Crate),0
Rare Materials (Crate),0
Gravel (Crate),24
Heavy Explosive Powder (Crate),154
Iron Alloy (Crate),0
Maintenance Supplies (Crate),203
Relic Materials (Crate),0
Refined Materials (Crate),238
Specialist’s Overcoat (Crate),0
Velian Flak Vest (Crate),59
Gunner’s Breastplate (Crate),0
Fabri Rucksack (Crate),16
Sapper Gear (Crate),0
Grenadier’s Baldric (Crate),0
Medic Fatigues (Crate),74
Physician’s Jacket (Crate),0
Remex Garb (Crate),0
Gentleman’s Peacoat (Crate),0
Officialis’ Attire (Crate),7
Officer’s Regalia (Crate),0
Auster’s Harness (Crate),0
Cloudrunner’s Vesture (Crate),0
Lodesman’s Lorica (Crate),0
Aviator’s Raiment (Crate),0
Legionary’s Oilcoat (Crate),0
Recon Camo (Crate),61
Outrider’s Mantle (Crate),0
Heavy Topcoat (Crate),0
Caoivish Parka (Crate),0
Legionary Fatigues (Crate),0
Infantry Battledress (Crate),0
Tankman’s Coveralls (Crate),9
Padded Boiler Suit (Crate),0
Colonial Aircraft Engine (Small) (Crate),0
Warden Aircraft Engine (Small) (Crate),0
Damaged Colonial Aircraft Engine (Small) (Crate),0
Damaged Warden Aircraft Engine (Small) (Crate),0
Colonial Aircraft Mechanical Parts (Small) (Crate),0
Warden Aircraft Mechanical Parts (Small) (Crate),0
Damaged Colonial Aircraft Mechanical Parts (Small) (Crate),0
Damaged Warden Aircraft Mechanical Parts (Small) (Crate),0

R-12 - “Salus” Ambulance,0
R-12b - “Salva” Flame Truck,6
Dunne Dousing Engine 3r,0
Dunne Responder 3e,0
O’Brien V.101 Freeman,0
O’Brien v.200 Squire,0
O’Brien V.190 Knave,0
O’Brien V.113 Gravekeeper,0
T3 “Xiphos”,0
O’Brien V.130 Wild Jack,0
O’Brien V.121 Highlander,0
T5 “Percutio”,0
T8 “Gemini”,0
O’Brien V.110,0
BMS - Aquatipper,0
R-15 - “Chariot”,0
Dunne Caravaner 2f,0
BMS - Universal Assembly Rig,0
BMS - Fabricator,0
BMS - Class 2 Mobile Auto-Crane,0
Noble Firebrand Mk. XVII,0
Noble Widow MK. XIV,0
GA6 “Cestus”,0
Duncan’s Coin 14.5mm,0
AA-2 "Battering Ram",2
Balfour Rampart 68mm,0
Collins Cannon 68mm,0
40-45 “Smelter”,0
Balfour Wolfhound 40mm,0
G40 “Sagittarii”,0
Swallowtail 988/127-2,0
30-250 “Tisiphone” Field Cannon,0
Balfour Falconer 250mm,0
BMS - Packmule Flatbed,2
BMS - Ironship,3
Das Krokodil by VAC,1
Type B - “Lucian”,0
81f-f Ronan Blackguard,0
Type C - “Charon”,0
74b-1 Ronan Gunship,0
HH-d “Peltast”,0
HH-a “Javelin”,1
HH-b “Hoplite”,0
Niska-Rycker Mk. IX Skycaller,0
Niska Mk. II Blinder,0
Niska Mk. III Scar Twin,0
Niska Mk. I Gun Motor Carriage,0
BMS - Scrap Hauler,0
AU-A150 Taurine Rigger,2
Cnute Cliffwrest,0
AB-8 “Acheron”,0
AB-11 “Doru”,0
Mulloy LPC,0
945g “Stygian Bolt”,0
Balfour Stockade 75mm,0
120-68 “Koronides” Field Gun,0
40-250 “Alekto” Heavy Cannon,0
Rycker 4/3-F Wasp Nest,0
K-81e “Sombre”,0
68A-4 Ronan Fathomer,0
HC-2 “Scorpion”,0
HA-1 “Sagaris”,2
Sharkey-Devitt Birdeater Mk. I,0
Devitt-Caine Mk. IV MMR,0
H-5 "Hatchet",0
Devitt Ironhide Mk. IV,0
H-19 “Vulcan”,0
H-8 “Kranesca”,0
H-10 “Pelekys”,0
Devitt Mk. III,0
Strider,0
Rinnspeir Ornitier-Class Gunship,0
86K-a “Bardiche”,0
Gallagher Thornfall Mk. VI,0
Gallagher Highwayman Mk. III,0
Gallagher Outlaw Mk. II,0
86K-c “Ranseur”,0
Gallagher Brigand Mk. I,0
90T-v “Nemesis”,0
Silverhand Lordscar - Mk. X,0
85K-b “Falchion”,0
85V-g "Talos",0
85K-a “Spatha”,0
Silverhand Chieftain - Mk. VI,0
Silverhand - Mk. IV,0
Bellweather by VAC,0
HC-7 "Ballista",0
03MM “Caster”,0
00MS “Stinger”,0
Kivela Power Wheel 80-1,0
King Jester Mk. I-1,0
King Gallant Mk. II,0
King Spire Mk. I,0
UV-05a “Argonaut”,5
UV-24 “Icarus”,0
Drummond Spitfire 100d,0
UV-5c “Odyssey”,0
Drummond Loscann 55c,0
Drummond 100a,0
T12 “Actaeon” Tankette,1
T14 “Vesta” Tankette,0
T13 “Deioneus” Rocket Battery,0
T20 “Ixion” Tankette,0
Rooster - Lamploader,0
Rooster - Tumblebox,2
Rooster - Junkwagon,1
R-1 Hauler,8
Dunne Leatherback 2a,0
RR-3 “Stolon” Tanker,1
Dunne Fuelrunner 2d,0
R-5b “Sisyphus” Hauler,0
Dunne Landrunner 12c,0
R-17 “Retiarius” Skirmisher,0
R-9 “Speartip” Escort,0
R-5 “Atlas” Hauler,1
Dunne Loadlugger 3c,0
Dunne Transport,0

V-1 Tzykalia (Crate),0
Tulka P4 Welkinrive (Crate),0
Mergo-4 “Myrmidon” (Crate),0
Toxot-902 “Blind Silver” (Crate),0
Luminary Mk. II Harbinger (Crate),0
V-5b Pegasus (Crate),0
Rinnspeir Mk. I Zealot (Crate),0
A59 Venti “Perdix” (Crate),0
Luminary Mk. VI Emissary (Crate),0
A51 Venti “Daedalus” (Crate),0
Luminary Mk. IV Herald (Crate),0
M925 Austringer Man-O-War (Crate),0
Tulka I1.9 White Raven (Crate),0
R-12 - “Salus” Ambulance (Crate),3
Dunne Responder 3e (Crate),0
O’Brien V.190 Knave (Crate),0
T3 “Xiphos” (Crate),0
O’Brien V.110 (Crate),0
BMS - Aquatipper (Crate),0
R-15 - “Chariot” (Crate),0
Dunne Caravaner 2f (Crate),0
BMS - Universal Assembly Rig (Crate),0
BMS - Class 2 Mobile Auto-Crane (Crate),0
Noble Widow MK. XIV (Crate),0
AA-2 "Battering Ram" (Crate),3
Collins Cannon 68mm (Crate),0
Balfour Wolfhound 40mm (Crate),0
G40 “Sagittarii” (Crate),4
Swallowtail 988/127-2 (Crate),0
30-250 “Tisiphone” Field Cannon (Crate),0
Balfour Falconer 250mm (Crate),0
BMS - Packmule Flatbed (Crate),1
BMS - Ironship (Crate),0
Das Krokodil by VAC (Crate),0
Type B - “Lucian” (Crate),0
81f-f Ronan Blackguard (Crate),0
Type C - “Charon” (Crate),0
74b-1 Ronan Gunship (Crate),0
HH-a “Javelin” (Crate),3
Niska Mk. I Gun Motor Carriage (Crate),0
AB-8 “Acheron” (Crate),0
Mulloy LPC (Crate),0
120-68 “Koronides” Field Gun (Crate),0
K-81e “Sombre” (Crate),0
68A-4 Ronan Fathomer (Crate),0
HC-2 “Scorpion” (Crate),0
HA-1 “Sagaris” (Crate),3
Sharkey-Devitt Birdeater Mk. I (Crate),0
H-5 "Hatchet" (Crate),4
Devitt Mk. III (Crate),0
Strider (Crate),5
Rinnspeir Ornitier-Class Gunship (Crate),0
86K-a “Bardiche” (Crate),0
Gallagher Brigand Mk. I (Crate),0
90T-v “Nemesis” (Crate),0
85K-b “Falchion” (Crate),0
Silverhand - Mk. IV (Crate),0
Bellweather by VAC (Crate),4
03MM “Caster” (Crate),0
Kivela Power Wheel 80-1 (Crate),0
King Spire Mk. I (Crate),0
UV-05a “Argonaut” (Crate),4
Drummond 100a (Crate),0
T12 “Actaeon” Tankette (Crate),0
Rooster - Lamploader (Crate),0
Rooster - Tumblebox (Crate),0
Rooster - Junkwagon (Crate),0
R-1 Hauler (Crate),7
RR-3 “Stolon” Tanker (Crate),5
Dunne Fuelrunner 2d (Crate),0
R-5 “Atlas” Hauler (Crate),0
Dunne Loadlugger 3c (Crate),0
Dunne Transport (Crate),0

Concrete Mixer,0
Construction Equipment,0
DAE 5b “Zeal”,0
Leary AA-70 Bolas,0
Huber Starbreaker 94.5mm,0
Leary Shellbore 68mm,0
DAE 2a-1 “Ruptura”,0
50-500 “Thunderbolt” Cannon,0
Huber Exalt 150mm,0
DAE 1o-3 “Polybolos”,0
DAE 1b-2 “Serra”,0
Leary Snare Trap 20,0
Huber Lariat 120mm,0
DAE 3b-2 “Hades’ Net”,0
Construction Parts,0
Underground Fortress Parts,0
Intelligence Center Parts,0
Aircraft Radar Parts,0
Storm Cannon Parts,0
Structure Parts,0
Weather Station Parts,0
Liquid Container,1
Material Pallet,0
Resource Container,6
A0E-9 Rocket Booster,0
A0E-9 Rocket Body,0
A0E-9 Rocket Warhead,0
Naval Hull Segments,0
Naval Shell Plating,0
Naval Turbine Components,0
Shipping Container,1

Concrete Mixer (Crate),0
Construction Equipment (Crate),0
DAE 5b “Zeal” (Crate),0
Leary AA-70 Bolas (Crate),0
Leary Shellbore 68mm (Crate),0
50-500 “Thunderbolt” Cannon (Crate),0
Huber Exalt 150mm (Crate),0
DAE 1o-3 “Polybolos” (Crate),0
DAE 1b-2 “Serra” (Crate),10
Leary Snare Trap 20 (Crate),0
Huber Lariat 120mm (Crate),0
Liquid Container (Crate),5
Material Pallet (Crate),0
Resource Container (Crate),5
Shipping Container (Crate),6

